sample_id	file	total_mass	internal_scale	external_scale
OT01_P1_C08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_C08/abundances.cxb	943673	1	1
OT01_P1_C09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_C09/abundances.cxb	2.77914e+06	1	1
OT01_P1_D02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D02/abundances.cxb	643788	1	1
OT01_P1_D03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D03/abundances.cxb	1.13571e+06	1	1
OT01_P1_D04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D04/abundances.cxb	536875	1	1
OT01_P1_D05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D05/abundances.cxb	397710	1	1
OT01_P1_D06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D06/abundances.cxb	620305	1	1
OT01_P1_D08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D08/abundances.cxb	1.0251e+06	1	1
OT01_P1_D09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D09/abundances.cxb	660597	1	1
OT01_P1_D10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D10/abundances.cxb	1.45666e+06	1	1
OT01_P1_D11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D11/abundances.cxb	1.66982e+06	1	1
OT01_P1_D12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_D12/abundances.cxb	1.56161e+06	1	1
OT01_P1_E01_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E01/abundances.cxb	2.03258e+06	1	1
OT01_P1_E02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E02/abundances.cxb	559685	1	1
OT01_P1_E03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E03/abundances.cxb	284315	1	1
OT01_P1_E04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E04/abundances.cxb	69	1	1
OT01_P1_E05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E05/abundances.cxb	679070	1	1
OT01_P1_E06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E06/abundances.cxb	1.69534e+06	1	1
OT01_P1_E07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E07/abundances.cxb	1.03064e+06	1	1
OT01_P1_E08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E08/abundances.cxb	137	1	1
OT01_P1_E09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E09/abundances.cxb	76	1	1
OT01_P1_E10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E10/abundances.cxb	100	1	1
OT01_P1_E11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E11/abundances.cxb	54	1	1
OT01_P1_E12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_E12/abundances.cxb	83	1	1
OT01_P1_F02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_F02/abundances.cxb	1.25627e+06	1	1
OT01_P1_F03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_F03/abundances.cxb	564710	1	1
OT01_P1_F04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_F04/abundances.cxb	56	1	1
OT01_P1_F05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_F05/abundances.cxb	197284	1	1
OT01_P1_F06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_F06/abundances.cxb	574940	1	1
OT01_P1_F07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_F07/abundances.cxb	536765	1	1
OT01_P1_G02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G02/abundances.cxb	2.41595e+06	1	1
OT01_P1_G03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G03/abundances.cxb	2.1414e+06	1	1
OT01_P1_G04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G04/abundances.cxb	1.78841e+06	1	1
OT01_P1_G05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G05/abundances.cxb	3.76791e+06	1	1
OT01_P1_G06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G06/abundances.cxb	2.32075e+06	1	1
OT01_P1_G07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G07/abundances.cxb	2.35382e+06	1	1
OT01_P1_G08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G08/abundances.cxb	2.40015e+06	1	1
OT01_P1_G09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G09/abundances.cxb	2.85163e+06	1	1
OT01_P1_G10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G10/abundances.cxb	1.97558e+06	1	1
OT01_P1_G11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P1_G11/abundances.cxb	2.05422e+06	1	1
OT01_P2_A02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A02/abundances.cxb	378791	1	1
OT01_P2_A03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A03/abundances.cxb	689931	1	1
OT01_P2_A04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A04/abundances.cxb	701408	1	1
OT01_P2_A05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A05/abundances.cxb	629711	1	1
OT01_P2_A06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A06/abundances.cxb	881205	1	1
OT01_P2_A07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A07/abundances.cxb	1.25026e+06	1	1
OT01_P2_A08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A08/abundances.cxb	9779	1	1
OT01_P2_A09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A09/abundances.cxb	109498	1	1
OT01_P2_A10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A10/abundances.cxb	321988	1	1
OT01_P2_A11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A11/abundances.cxb	801721	1	1
OT01_P2_A12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_A12/abundances.cxb	33	1	1
OT01_P2_B01_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B01/abundances.cxb	1.05818e+06	1	1
OT01_P2_B02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B02/abundances.cxb	16174	1	1
OT01_P2_B03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B03/abundances.cxb	868675	1	1
OT01_P2_B04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B04/abundances.cxb	270673	1	1
OT01_P2_B05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B05/abundances.cxb	1.44676e+06	1	1
OT01_P2_B06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B06/abundances.cxb	528756	1	1
OT01_P2_B07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B07/abundances.cxb	1.06688e+06	1	1
OT01_P2_B08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B08/abundances.cxb	864956	1	1
OT01_P2_B09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B09/abundances.cxb	97241	1	1
OT01_P2_B10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B10/abundances.cxb	87111	1	1
OT01_P2_B11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B11/abundances.cxb	1.58292e+06	1	1
OT01_P2_B12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_B12/abundances.cxb	6998	1	1
OT01_P2_C01_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_C01/abundances.cxb	97823	1	1
OT01_P2_C02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_C02/abundances.cxb	936305	1	1
OT01_P2_C03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_C03/abundances.cxb	2.63575e+06	1	1
OT01_P2_C04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_C04/abundances.cxb	164220	1	1
OT01_P2_C05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_C05/abundances.cxb	546366	1	1
OT01_P2_C06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_C06/abundances.cxb	1.12736e+06	1	1
OT01_P2_C07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_C07/abundances.cxb	427056	1	1
OT01_P2_C09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_C09/abundances.cxb	152	1	1
OT01_P2_D01_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D01/abundances.cxb	756884	1	1
OT01_P2_D02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D02/abundances.cxb	507183	1	1
OT01_P2_D03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D03/abundances.cxb	168233	1	1
OT01_P2_D04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D04/abundances.cxb	1.59612e+06	1	1
OT01_P2_D05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D05/abundances.cxb	730675	1	1
OT01_P2_D06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D06/abundances.cxb	619669	1	1
OT01_P2_D07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D07/abundances.cxb	893143	1	1
OT01_P2_D08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D08/abundances.cxb	719646	1	1
OT01_P2_D09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D09/abundances.cxb	678535	1	1
OT01_P2_D10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D10/abundances.cxb	1.65608e+06	1	1
OT01_P2_D11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D11/abundances.cxb	699774	1	1
OT01_P2_D12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_D12/abundances.cxb	1.01966e+06	1	1
OT01_P2_E01_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E01/abundances.cxb	1.92069e+06	1	1
OT01_P2_E02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E02/abundances.cxb	1.73071e+06	1	1
OT01_P2_E03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E03/abundances.cxb	856320	1	1
OT01_P2_E04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E04/abundances.cxb	1.01451e+06	1	1
OT01_P2_E05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E05/abundances.cxb	1.36106e+06	1	1
OT01_P2_E06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E06/abundances.cxb	1.03695e+06	1	1
OT01_P2_E07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E07/abundances.cxb	393286	1	1
OT01_P2_E08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E08/abundances.cxb	146668	1	1
OT01_P2_E09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E09/abundances.cxb	1.25469e+06	1	1
OT01_P2_E10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E10/abundances.cxb	1.22928e+06	1	1
OT01_P2_E11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_E11/abundances.cxb	1.84529e+06	1	1
OT01_P2_F04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_F04/abundances.cxb	870438	1	1
OT01_P2_F05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_F05/abundances.cxb	1.51991e+06	1	1
OT01_P2_F06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_F06/abundances.cxb	1.35039e+06	1	1
OT01_P2_F07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_F07/abundances.cxb	1.33291e+06	1	1
OT01_P2_F08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_F08/abundances.cxb	806816	1	1
OT01_P2_F09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_F09/abundances.cxb	1.31763e+06	1	1
OT01_P2_F10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_F10/abundances.cxb	1.6178e+06	1	1
OT01_P2_F11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P2_F11/abundances.cxb	1.60838e+06	1	1
OT01_P3_A01_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A01/abundances.cxb	1.92965e+06	1	1
OT01_P3_A02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A02/abundances.cxb	649896	1	1
OT01_P3_A03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A03/abundances.cxb	1.94397e+06	1	1
OT01_P3_A05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A05/abundances.cxb	262	1	1
OT01_P3_A06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A06/abundances.cxb	677101	1	1
OT01_P3_A07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A07/abundances.cxb	422894	1	1
OT01_P3_A08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A08/abundances.cxb	918178	1	1
OT01_P3_A09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A09/abundances.cxb	673290	1	1
OT01_P3_A10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A10/abundances.cxb	611208	1	1
OT01_P3_A11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A11/abundances.cxb	416661	1	1
OT01_P3_A12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_A12/abundances.cxb	1.3453e+06	1	1
OT01_P3_B07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_B07/abundances.cxb	747611	1	1
OT01_P3_B08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_B08/abundances.cxb	1.30219e+06	1	1
OT01_P3_B09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_B09/abundances.cxb	996461	1	1
OT01_P3_B10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_B10/abundances.cxb	590849	1	1
OT01_P3_B11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_B11/abundances.cxb	468382	1	1
OT01_P3_B12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_B12/abundances.cxb	642361	1	1
OT01_P3_C02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C02/abundances.cxb	1.45982e+06	1	1
OT01_P3_C03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C03/abundances.cxb	1.04951e+06	1	1
OT01_P3_C04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C04/abundances.cxb	1.84554e+06	1	1
OT01_P3_C05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C05/abundances.cxb	1.59942e+06	1	1
OT01_P3_C06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C06/abundances.cxb	1.65773e+06	1	1
OT01_P3_C08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C08/abundances.cxb	454	1	1
OT01_P3_C09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C09/abundances.cxb	365	1	1
OT01_P3_C10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C10/abundances.cxb	590163	1	1
OT01_P3_C11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C11/abundances.cxb	1.38416e+06	1	1
OT01_P3_C12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_C12/abundances.cxb	1.30814e+06	1	1
OT01_P3_D04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D04/abundances.cxb	729485	1	1
OT01_P3_D05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D05/abundances.cxb	216050	1	1
OT01_P3_D06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D06/abundances.cxb	344238	1	1
OT01_P3_D07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D07/abundances.cxb	152	1	1
OT01_P3_D08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D08/abundances.cxb	524306	1	1
OT01_P3_D09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D09/abundances.cxb	952006	1	1
OT01_P3_D10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D10/abundances.cxb	503992	1	1
OT01_P3_D11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D11/abundances.cxb	397466	1	1
OT01_P3_D12_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_D12/abundances.cxb	551257	1	1
OT01_P3_E01_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E01/abundances.cxb	465819	1	1
OT01_P3_E02_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E02/abundances.cxb	1.63767e+06	1	1
OT01_P3_E03_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E03/abundances.cxb	633361	1	1
OT01_P3_E04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E04/abundances.cxb	3.56263e+06	1	1
OT01_P3_E05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E05/abundances.cxb	477	1	1
OT01_P3_E06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E06/abundances.cxb	1.67751e+06	1	1
OT01_P3_E07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E07/abundances.cxb	1.89485e+06	1	1
OT01_P3_E08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E08/abundances.cxb	1.67377e+06	1	1
OT01_P3_E09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E09/abundances.cxb	436	1	1
OT01_P3_E10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E10/abundances.cxb	1.07156e+06	1	1
OT01_P3_E11_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_E11/abundances.cxb	903651	1	1
OT01_P3_F04_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_F04/abundances.cxb	622541	1	1
OT01_P3_F05_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_F05/abundances.cxb	1.11734e+06	1	1
OT01_P3_F06_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_F06/abundances.cxb	237598	1	1
OT01_P3_F07_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_F07/abundances.cxb	526164	1	1
OT01_P3_F08_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_F08/abundances.cxb	383399	1	1
OT01_P3_F09_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_F09/abundances.cxb	224	1	1
OT01_P3_F10_0	/home-3/lgoff2@jhu.edu/work-zfs/seq/Dolen_OT/data/quants/OT01_P3_F10/abundances.cxb	867454	1	1
